M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,4e-06,6e-06
8,8,1.5,1.5,8e-06,2e-05
18,18,2.375,1.35714,1.4e-05,4.5e-05
32,32,2.75,3,3.8e-05,6.9e-05
50,50,2.55,2.42857,6.4e-05,0.000226
72,72,3.65,2.28125,6.4e-05,0.000253
98,98,3.66667,2.475,7.9e-05,0.000309
128,128,3.48649,2.15,0.000134,0.000604
162,162,3.07547,2.23288,0.000152,0.000998
200,200,3.40678,2.48148,0.00018,0.001304
242,242,4.58491,2.6129,0.000219,0.00141
288,288,3.36047,2.75238,0.000265,0.002857
338,338,4.03571,3.29126,0.000291,0.002521
392,392,3.57273,3.09449,0.000415,0.004371
450,450,3.36567,2.66864,0.000544,0.008112
512,512,3.82836,2.60406,0.000592,0.009654
578,578,3.48795,2.60811,0.000746,0.013044
648,648,3.9816,2.97706,0.000917,0.014071
722,722,3.63317,3.05063,0.001126,0.01967
800,800,3.56,3.02264,0.001413,0.023482
882,882,3.69456,2.85761,0.001977,0.032366
968,968,3.60223,2.85841,0.00206,0.039689
1058,1058,3.85091,2.7942,0.002072,0.046084
1152,1152,3.7074,2.84691,0.003324,0.056786
1250,1250,3.73433,2.65605,0.002824,0.076588
1352,1352,3.7688,3.11034,0.003282,0.076056
1458,1458,3.77003,2.73734,0.003721,0.105468
1568,1568,3.95214,2.74781,0.004578,0.123129
1682,1682,4.19701,3.13408,0.005319,0.113898
1800,1800,3.79158,2.74125,0.006843,0.179332
1922,1922,3.9165,3.16804,0.006899,0.17336
2048,2048,4.10621,2.87377,0.008138,0.21639
2178,2178,4.3493,3.10842,0.008048,0.211123
2312,2312,4.07937,3.07989,0.009046,0.285418
2450,2450,4.27749,3.09079,0.011734,0.310991
2592,2592,4.03266,2.95667,0.011261,0.361459
2738,2738,4.18168,3.24142,0.012493,0.374705
2888,2888,4.29272,3.12324,0.015624,0.475925
3042,3042,3.91634,3.10827,0.015292,0.574003
3200,3200,4.05703,2.76664,0.019641,0.70981
3362,3362,4.12638,3.15775,0.019939,0.697989
3528,3528,4.31946,3.12578,0.022057,0.798753
3698,3698,4.25662,3.17511,0.02385,0.881172
3872,3872,4.1961,3.14622,0.025779,1.0379
4050,4050,4.01487,3.06662,0.028592,1.33489
4232,4232,4.34154,3.20439,0.034711,1.30197
4418,4418,4.08788,3.14072,0.03458,1.69987
4608,4608,4.14106,2.85741,0.043805,2.1877
4802,4802,4.29991,3.18713,0.043355,1.95999
5000,5000,4.04285,2.97501,0.042855,2.50482
5202,5202,4.38332,3.33312,0.047572,2.13548
5408,5408,4.31684,3.25256,0.0515,2.48621
5618,5618,4.32564,3.33472,0.056069,2.70869
5832,5832,4.24218,3.24236,0.068007,3.35599
6050,6050,4.58757,3.2445,0.062261,2.90381
6272,6272,4.47113,3.26889,0.067046,3.8592
6498,6498,4.37643,3.21892,0.081581,4.49494
6728,6728,4.49499,3.31641,0.080534,4.33493
6962,6962,4.34916,3.32999,0.078915,4.70871
7200,7200,4.4205,3.11058,0.088668,5.41545
7442,7442,4.58031,3.29774,0.091688,5.98517
7688,7688,4.33672,3.2212,0.096777,7.4254
7938,7938,4.23413,3.2983,0.101027,7.82469
8192,8192,4.51903,3.28114,0.108053,7.88083
8450,8450,4.43157,3.36291,0.123919,8.93346
8712,8712,4.51685,3.42358,0.12512,8.6325
8978,8978,4.63074,3.42057,0.135148,10.2577
9248,9248,4.64074,3.3645,0.14391,11.0023
9522,9522,4.72137,3.45914,0.156623,11.5935
9800,9800,4.56073,3.34619,0.162436,13.4471
