M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1,0,1.12e-05
8,8,1.5,1.8,0,0.0001704
18,18,2.375,1.1875,0,0.000385
32,32,2.35714,1.94118,0,0.0007238
50,50,2.31818,2.68421,0,0.001307
72,72,3.31818,2.14706,0,0.0025706
98,98,3.19355,2.0625,0,0.0049724
128,128,3.30769,2.15,0,0.007711
162,162,2.76271,2.11688,0,0.0154212
200,200,3.09231,2.42169,0,0.0187002
242,242,4.11864,2.40594,0,0.0213826
288,288,2.94898,2.34959,0,0.0402116
338,338,3.19811,2.7561,0,0.045176
392,392,2.88971,2.41104,0,0.0750448
450,450,3.0473,2.49171,0,0.0901638
512,512,3.46622,2.60406,0,0.104344
578,578,3.36628,2.63182,0,0.128017
648,648,3.50811,2.596,0,0.15825
722,722,3.24215,2.79151,0,0.195542
800,800,3.2963,2.85053,0,0.240121
882,882,3.05536,2.47339,0,0.352215
968,968,3.11576,2.46565,0,0.417506
1058,1058,3.29907,2.75065,0,0.434874
1152,1152,3.66032,2.84691,0,0.448011
1250,1250,3.37197,2.54786,0,0.633853
1352,1352,3.32432,2.65815,0,0.727671
1458,1458,3.38515,2.59147,0,0.867891
1568,1568,3.24845,2.49444,0,1.0561
1682,1682,3.60385,2.94746,0,0.952816
1800,1800,3.66802,2.58393,0,1.22584
1922,1922,3.34435,2.72766,0,1.46988
2048,2048,3.43216,2.75034,0,1.65653
2178,2178,3.77643,2.76172,0,1.70209
2312,2312,3.56394,2.74377,0,2.03752
2450,2450,3.70802,2.76949,0,2.20713
2592,2592,3.55693,2.7266,0,2.67926
2738,2738,3.68641,2.78637,0,2.78119
2888,2888,3.72774,2.68245,0,3.22313
3042,3042,3.55906,2.8202,0,3.59826
3200,3200,3.78817,2.76664,0,3.83008
3362,3362,3.73252,2.75882,0,4.33795
3528,3528,3.81514,2.67957,0,4.8458
3698,3698,3.76297,2.80866,0,5.20345
3872,3872,3.67806,2.81264,0,5.86843
4050,4050,3.5945,2.81124,0,6.62969
4232,4232,3.86575,2.9013,0,6.51462
4418,4418,3.66722,2.82364,0,7.67525
4608,4608,3.68425,2.85741,0,8.19875
4802,4802,3.76116,2.77791,0,9.09249
5000,5000,3.66374,2.68726,0,10.6185
5202,5202,3.90909,2.98851,0,9.69875
5408,5408,3.80112,2.80987,0,11.606
5618,5618,3.79919,3.04223,0,11.7996
5832,5832,3.81491,2.91796,0,12.6748
6050,6050,4.09682,2.8966,0,12.5403
6272,6272,3.90355,2.84748,0,14.2925
6498,6498,3.80726,2.86932,0,15.7855
6728,6728,3.9282,2.8549,0,16.5396
6962,6962,3.76175,2.83164,0,18.6557
7200,7200,4.02066,2.88386,0,18.641
7442,7442,4.01673,2.95944,0,19.5219
7688,7688,3.96545,2.97908,0,20.8167
7938,7938,3.94779,3.0617,0,21.9244
8192,8192,4.2828,3.21168,0,20.3333
8450,8450,3.89627,3.12653,0,24.85
8712,8712,4.00966,3.06257,0,26.5321
8978,8978,3.94335,3.05512,0,28.5724
9248,9248,4.09429,3.04745,0,29.0598
9522,9522,4.09944,3.01838,0,30.978
9800,9800,4.08205,2.97451,0,33.7975
10082,10082,4.1717,2.93025,0,35.8318
10368,10368,4.28294,2.89394,0,37.7391
10658,10658,4.06057,3.10306,0,39.0355
10952,10952,4.18853,3.02152,0,41.5785
11250,11250,4.13792,3.0732,0,43.9384
11552,11552,4.21489,3.09152,0,45.4888
11858,11858,4.14505,3.10689,0,49.1291
12168,12168,4.14899,3.14363,0,50.6133
12482,12482,4.27354,3.09983,0,52.8646
12800,12800,4.28557,2.96938,0,62.9914
13122,13122,4.18596,3.17364,0,63.8701
13448,13448,4.28176,3.12549,0,67.3755
13778,13778,4.18942,3.11813,0,72.3651
14112,14112,4.26761,3.02659,0,79.1309
14450,14450,4.35402,3.05583,0,83.7291
14792,14792,4.18472,3.05325,0,94.3128
15138,15138,4.32914,3.00675,0,97.6149
15488,15488,4.24938,3.00816,0,103.005
15842,15842,4.20573,2.95413,0,118.653
