M, N, compression factor 1, compression factor 2, naive time, rle time
8,50,8,50,0,7.33333e-06
2537,2323,49.7451,45.549,0,0.0118253
5267,4833,52.1485,47.8515,0,0.0480117
7267,6862,48.1258,45.4437,0,0.0977467
9684,10720,48.1791,53.3333,0,0.163774
12792,12512,50.9641,49.8486,0,0.259936
14287,15277,47.4651,50.7542,0,0.379861
18565,17576,52.8917,50.0741,0,0.510375
19538,21302,48.7232,53.1222,0,0.645216
22620,22446,50.1552,49.7694,0,0.846919
26710,26284,53.3134,52.4631,0,1.05783
27464,27816,49.8439,50.4828,0,1.27641
29814,30517,49.6073,50.777,0,1.53007
33795,34045,51.9124,52.2965,0,1.70255
35592,35491,50.7732,50.6291,0,2.10565
38967,37397,51.8868,49.7963,0,2.42263
40417,41700,50.4582,52.0599,0,2.6001
43469,42748,51.0799,50.2327,0,2.80507
45580,44756,50.5882,49.6737,0,3.19562
46737,49568,49.1451,52.122,0,3.7703
51854,50222,51.8022,50.1718,0,4.15178
54173,53108,51.5442,50.5309,0,4.47234
56135,55955,50.9855,50.822,0,4.85072
57151,57396,49.6533,49.8662,0,5.55049
62547,61785,52.0791,51.4446,0,5.69944
63003,62159,50.3621,49.6875,0,6.33808
66638,66572,51.2206,51.1699,0,6.85254
68198,66077,50.4796,48.9097,0,7.12466
70303,72389,50.1806,51.6695,0,8.02656
74886,74768,51.6099,51.5286,0,8.35516
75954,73798,50.6023,49.1659,0,8.86476
77984,78225,50.2798,50.4352,0,9.70612
80177,80819,50.0793,50.4803,0,10.2526
84501,83252,51.1817,50.4252,0,10.6724
85917,86853,50.5097,51.06,0,11.6937
88322,89869,50.4409,51.3244,0,12.4601
89742,90771,49.829,50.4003,0,13.0258
93346,91638,50.43,49.5073,0,13.5766
98484,93923,51.8064,49.4072,0,14.1147
101297,99019,51.9206,50.7529,0,14.9206
103203,102193,51.5757,51.071,0,16.0004
105363,103178,51.3715,50.3062,0,16.6407
103659,107296,49.3379,51.069,0,17.7707
109195,108822,50.7648,50.5914,0,18.0355
109352,111995,49.6829,50.8837,0,18.913
115994,113345,51.53,50.3532,0,20.1692
114783,114306,49.884,49.6767,0,21.4063
119378,119702,50.7775,50.9154,0,21.6676
119718,117114,49.8617,48.7772,0,22.9993
123031,123405,50.1962,50.3488,0,23.8267
127839,123842,51.1152,49.517,0,24.5592
128042,128047,50.1929,50.1948,0,25.1739
130996,130248,50.3637,50.0761,0,26.0588
132351,132088,49.9249,49.8257,0,27.1679
134382,135185,49.7527,50.05,0,28.1206
136447,140409,49.5991,51.0393,0,29.2865
143146,140735,51.1053,50.2446,0,30.2258
144730,145556,50.7646,51.0544,0,31.3907
148028,150042,51.0265,51.7208,0,32.3028
147835,152654,50.0966,51.7296,0,33.4953
149275,151322,49.7418,50.4239,0,34.7129
153561,153138,50.3314,50.1927,0,35.7986
158176,156509,51.0081,50.4705,0,36.9657
158691,156721,50.3621,49.7369,0,38.1767
162090,160805,50.6373,50.2359,0,39.6095
163579,163171,50.3165,50.191,0,40.7012
166702,166534,50.5005,50.4496,0,41.9485
169540,171438,50.5939,51.1603,0,43.0918
168902,171586,49.6625,50.4516,0,44.512
173157,172879,50.1759,50.0953,0,45.8389
176779,178357,50.4939,50.9446,0,47.2294
176582,180405,49.7274,50.804,0,48.7319
181503,182247,50.4035,50.6101,0,51.923
182381,183865,49.9537,50.3602,0,55.3657
188550,187892,50.9457,50.7679,0,54.8526
189057,189136,50.4018,50.4228,0,56.9671
193109,191795,50.8048,50.4591,0,58.6875
195506,194743,50.7676,50.5695,0,60.2083
196497,193406,50.3709,49.5786,0,62.6426
199046,199756,50.3786,50.5583,0,63.7968
