M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,1e-06,2.1e-05
8,8,1.5,1.5,2e-06,0.00028
18,18,2.375,1.35714,1e-06,0.000661
32,32,2.75,3,2.5e-05,0.000571
50,50,2.55,2.42857,8e-06,0.001257
72,72,3.65,2.28125,1.6e-05,0.002087
98,98,3.66667,2.475,2.7e-05,0.003841
128,128,3.48649,2.15,4.4e-05,0.00749
162,162,3.07547,2.23288,7.2e-05,0.015006
200,200,3.40678,2.48148,0.000174,0.018101
242,242,4.58491,2.6129,0.000166,0.01976
288,288,3.36047,2.75238,0.0002,0.03311
338,338,4.03571,3.29126,0.000281,0.033755
392,392,3.57273,3.09449,0.00049,0.051333
450,450,3.36567,2.66864,0.000535,0.081604
512,512,3.82836,2.60406,0.000639,0.096401
578,578,3.48795,2.60811,0.001288,0.130188
648,648,3.9816,2.97706,0.001031,0.125995
722,722,3.63317,3.05063,0.001263,0.166195
800,800,3.56,3.02264,0.001693,0.210917
882,882,3.69456,2.85761,0.001759,0.256667
968,968,3.60223,2.85841,0.002093,0.309213
1058,1058,3.85091,2.7942,0.00347,0.36099
1152,1152,3.7074,2.84691,0.003018,0.439471
1250,1250,3.73433,2.65605,0.004166,0.537545
1352,1352,3.7688,3.11034,0.004327,0.533155
1458,1458,3.77003,2.73734,0.005819,0.70201
1568,1568,3.95214,2.74781,0.007158,0.765377
1682,1682,4.19701,3.13408,0.007379,0.762789
1800,1800,3.79158,2.74125,0.008397,1.08205
1922,1922,3.9165,3.16804,0.01027,1.01417
2048,2048,4.10621,2.87377,0.010273,1.22987
2178,2178,4.3493,3.10842,0.011303,1.24223
2312,2312,4.07937,3.07989,0.012624,1.44811
2450,2450,4.27749,3.09079,0.014539,1.71938
2592,2592,4.03266,2.95667,0.017455,2.06499
2738,2738,4.18168,3.24142,0.017304,1.91822
2888,2888,4.29272,3.12324,0.020495,2.21386
3042,3042,3.91634,3.10827,0.021947,2.61377
3200,3200,4.05703,2.76664,0.024582,3.76134
3362,3362,4.12638,3.15775,0.026355,3.1208
3528,3528,4.31946,3.12578,0.029076,3.2201
3698,3698,4.25662,3.17511,0.031281,3.83125
3872,3872,4.1961,3.14622,0.036303,4.42538
4050,4050,4.01487,3.06662,0.040438,5.06722
4232,4232,4.34154,3.20439,0.043719,5.17574
4418,4418,4.08788,3.14072,0.05339,6.06877
4608,4608,4.14106,2.85741,0.057288,7.00844
4802,4802,4.29991,3.18713,0.060975,6.57035
5000,5000,4.04285,2.97501,0.058418,8.14166
5202,5202,4.38332,3.33312,0.058992,7.27884
5408,5408,4.31684,3.25256,0.062397,8.16627
5618,5618,4.32564,3.33472,0.076136,8.61722
5832,5832,4.24218,3.24236,0.084487,9.78509
6050,6050,4.58757,3.2445,0.123523,9.93445
6272,6272,4.47113,3.26889,0.098581,10.7972
6498,6498,4.37643,3.21892,0.208934,11.838
6728,6728,4.49499,3.31641,0.114992,12.2762
6962,6962,4.34916,3.32999,0.23301,13.1265
7200,7200,4.4205,3.11058,0.119678,15.483
7442,7442,4.58031,3.29774,0.269923,14.7001
7688,7688,4.33672,3.2212,0.135712,16.6163
7938,7938,4.23413,3.2983,0.377462,17.9501
8192,8192,4.51903,3.28114,0.194538,18.569
8450,8450,4.43157,3.36291,0.466396,18.9928
8712,8712,4.51685,3.42358,0.411111,19.6354
8978,8978,4.63074,3.42057,0.188466,20.6789
9248,9248,4.64074,3.3645,0.588581,22.1606
9522,9522,4.72137,3.45914,0.625321,23.0336
9800,9800,4.56073,3.34619,0.611696,25.7048
