M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,3e-06,1.5e-05
8,8,1.5,1.5,2e-06,0.00015
18,18,2.375,1.35714,9e-06,0.000456
32,32,2.75,3,2.2e-05,0.000555
50,50,2.55,2.42857,9.7e-05,0.002166
72,72,3.65,2.28125,0.000179,0.002435
98,98,3.66667,2.475,0.000264,0.004789
128,128,3.48649,2.15,0.000361,0.01025
162,162,3.07547,2.23288,0.000532,0.017511
200,200,3.40678,2.48148,0.000906,0.022038
242,242,4.58491,2.6129,0.001168,0.027058
288,288,3.36047,2.75238,0.001937,0.041823
338,338,4.03571,3.29126,0.002436,0.039548
392,392,3.57273,3.09449,0.003038,0.062085
450,450,3.36567,2.66864,0.003997,0.101389
512,512,3.82836,2.60406,0.007654,0.119176
578,578,3.48795,2.60811,0.00654,0.158155
648,648,3.9816,2.97706,0.008271,0.158956
722,722,3.63317,3.05063,0.010457,0.199364
800,800,3.56,3.02264,0.012493,0.262517
882,882,3.69456,2.85761,0.015942,0.320453
968,968,3.60223,2.85841,0.018529,0.380331
1058,1058,3.85091,2.7942,0.022113,0.445371
1152,1152,3.7074,2.84691,0.028728,0.537892
1250,1250,3.73433,2.65605,0.030982,0.669541
1352,1352,3.7688,3.11034,0.03909,0.659377
1458,1458,3.77003,2.73734,0.045128,0.87284
1568,1568,3.95214,2.74781,0.052047,0.954946
1682,1682,4.19701,3.13408,0.059159,0.942816
1800,1800,3.79158,2.74125,0.066535,1.33655
1922,1922,3.9165,3.16804,0.075847,1.24025
2048,2048,4.10621,2.87377,0.086551,1.51716
2178,2178,4.3493,3.10842,0.095777,1.51435
2312,2312,4.07937,3.07989,0.108353,1.78736
2450,2450,4.27749,3.09079,0.122446,1.93016
2592,2592,4.03266,2.95667,0.136351,2.39224
2738,2738,4.18168,3.24142,0.149254,2.36507
2888,2888,4.29272,3.12324,0.166502,2.66728
3042,3042,3.91634,3.10827,0.186556,3.23309
3200,3200,4.05703,2.76664,0.206767,4.07362
