M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,7e-06,2.7e-05
8,8,1.5,1.5,2e-06,0.000212
18,18,2.375,1.35714,2e-06,0.00046
32,32,2.75,3,4e-06,0.000477
50,50,2.55,2.42857,8e-06,0.001407
72,72,3.65,2.28125,1.1e-05,0.002191
98,98,3.66667,2.475,1.8e-05,0.004135
128,128,3.48649,2.15,3.1e-05,0.009145
162,162,3.07547,2.23288,5e-05,0.013981
200,200,3.40678,2.48148,7e-05,0.016825
242,242,4.58491,2.6129,0.000107,0.019595
288,288,3.36047,2.75238,0.000145,0.034735
338,338,4.03571,3.29126,0.000295,0.03388
392,392,3.57273,3.09449,0.00026,0.055196
450,450,3.36567,2.66864,0.000436,0.085775
512,512,3.82836,2.60406,0.000471,0.110868
578,578,3.48795,2.60811,0.000554,0.136387
648,648,3.9816,2.97706,0.000728,0.140541
722,722,3.63317,3.05063,0.001033,0.177872
800,800,3.56,3.02264,0.001175,0.225574
882,882,3.69456,2.85761,0.002187,0.272386
968,968,3.60223,2.85841,0.001603,0.339471
1058,1058,3.85091,2.7942,0.001865,0.379219
1152,1152,3.7074,2.84691,0.002987,0.464046
1250,1250,3.73433,2.65605,0.002779,0.561938
1352,1352,3.7688,3.11034,0.005113,0.585999
1458,1458,3.77003,2.73734,0.003511,0.758006
1568,1568,3.95214,2.74781,0.004616,0.820897
1682,1682,4.19701,3.13408,0.004719,0.859694
1800,1800,3.79158,2.74125,0.005694,1.19046
1922,1922,3.9165,3.16804,0.008154,1.10737
2048,2048,4.10621,2.87377,0.007883,1.35955
2178,2178,4.3493,3.10842,0.008369,1.37507
2312,2312,4.07937,3.07989,0.009096,1.48933
2450,2450,4.27749,3.09079,0.010301,1.60507
2592,2592,4.03266,2.95667,0.011156,1.98461
2738,2738,4.18168,3.24142,0.016403,2.08418
2888,2888,4.29272,3.12324,0.01411,2.43042
3042,3042,3.91634,3.10827,0.015027,2.89208
3200,3200,4.05703,2.76664,0.019083,3.66051
