M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,2,2,1.2e-05,3.5e-05
8,8,1.6,1.6,6e-06,0.000142
18,18,2.57143,1.38462,3e-06,0.000425
32,32,2.90909,3.2,8e-06,0.000588
50,50,2.63158,2.5,1e-05,0.001214
72,72,3.78947,2.32258,1.9e-05,0.002007
98,98,3.76923,2.51282,2.9e-05,0.003286
128,128,3.55556,2.16949,4.6e-05,0.006698
162,162,3.11538,2.25,6.8e-05,0.015249
200,200,3.44828,2.5,0.000102,0.014959
242,242,4.65385,2.63043,0.000147,0.01694
288,288,3.38824,2.76923,0.000202,0.028548
338,338,4.07229,3.31373,0.000272,0.028986
392,392,3.59633,3.11111,0.000365,0.044211
450,450,3.38346,2.67857,0.000485,0.069979
512,512,3.84962,2.61224,0.000611,0.086154
578,578,3.50303,2.61538,0.000872,0.108635
648,648,4,2.98618,0.000959,0.112416
722,722,3.64646,3.05932,0.0012,0.142966
800,800,3.57143,3.0303,0.001477,0.180975
882,882,3.70588,2.86364,0.001757,0.219944
968,968,3.61194,2.86391,0.003485,0.268916
1058,1058,3.86131,2.79894,0.002504,0.311213
1152,1152,3.71613,2.85149,0.00294,0.378703
1250,1250,3.74251,2.65957,0.003922,0.46573
1352,1352,3.77654,3.11521,0.004308,0.458586
1458,1458,3.7772,2.7406,0.005586,0.607963
1568,1568,3.9596,2.75088,0.006297,0.663377
1682,1682,4.205,3.13806,0.008158,0.650247
1800,1800,3.79747,2.7439,0.008047,0.949873
1922,1922,3.92245,3.17162,0.011334,0.977219
2048,2048,4.11245,2.8764,0.009709,1.09945
2178,2178,4.356,3.11143,0.010894,1.0592
2312,2312,4.08481,3.08267,0.012816,1.26821
2450,2450,4.28322,3.09343,0.014105,1.46802
2592,2592,4.03738,2.9589,0.015765,1.67972
2738,2738,4.18654,3.24408,0.017143,1.65437
2888,2888,4.29762,3.12554,0.02128,1.88716
3042,3042,3.9201,3.11043,0.022317,2.26965
3200,3200,4.06091,2.76817,0.023439,2.82873
3362,3362,4.13022,3.15977,0.026422,2.5852
3528,3528,4.32353,3.12766,0.028515,2.76114
3698,3698,4.26037,3.17698,0.031226,3.01448
3872,3872,4.19957,3.14797,0.034938,3.40126
4050,4050,4.01786,3.06818,0.036111,3.98483
4232,4232,4.34497,3.20606,0.03932,3.84969
4418,4418,4.09074,3.14225,0.046977,4.46229
4608,4608,4.14388,2.85856,0.047272,5.26935
4802,4802,4.30287,3.18858,0.049518,4.97576
5000,5000,4.04531,2.97619,0.053904,6.16934
5202,5202,4.38617,3.33462,0.057555,5.49649
5408,5408,4.31949,3.25391,0.064676,6.19642
5618,5618,4.3282,3.3361,0.074773,6.53272
5832,5832,4.24454,3.2436,0.071976,7.54395
6050,6050,4.59029,3.24571,0.13397,7.83181
6272,6272,4.47361,3.27007,0.083203,8.16942
6498,6498,4.37871,3.22002,0.090758,8.85044
6728,6728,4.49733,3.31755,0.102385,9.09016
6962,6962,4.35125,3.3311,0.10415,9.89321
7200,7200,4.4226,3.1115,0.112406,11.3298
7442,7442,4.58251,3.29876,0.123355,10.9025
7688,7688,4.3386,3.22213,0.126291,13.3748
7938,7938,4.23586,3.29925,0.142945,14.8696
8192,8192,4.52097,3.28205,0.150626,15.02
8450,8450,4.43337,3.36385,0.162069,15.8636
8712,8712,4.51867,3.42453,0.176731,16.276
8978,8978,4.63261,3.42149,0.183866,17.1183
9248,9248,4.64257,3.36536,0.194443,18.2718
9522,9522,4.72321,3.46003,0.20438,18.5851
9800,9800,4.56238,3.34699,0.217011,21.0583
