M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,3e-06,2e-05
8,8,1.5,1.5,3e-06,9.6e-05
18,18,2.375,1.35714,3e-06,0.000346
32,32,2.75,3,9e-06,0.000411
50,50,2.55,2.42857,1.2e-05,0.001198
72,72,3.65,2.28125,1.6e-05,0.001954
98,98,3.66667,2.475,3e-05,0.004021
128,128,3.48649,2.15,5.2e-05,0.008936
162,162,3.07547,2.23288,7.4e-05,0.01556
200,200,3.40678,2.48148,0.000103,0.018985
242,242,4.58491,2.6129,0.00016,0.021325
288,288,3.36047,2.75238,0.000369,0.034639
338,338,4.03571,3.29126,0.000361,0.032535
392,392,3.57273,3.09449,0.000381,0.050556
450,450,3.36567,2.66864,0.000629,0.081266
512,512,3.82836,2.60406,0.000692,0.097688
578,578,3.48795,2.60811,0.001265,0.124954
648,648,3.9816,2.97706,0.001147,0.131476
722,722,3.63317,3.05063,0.001362,0.160236
800,800,3.56,3.02264,0.001691,0.208814
882,882,3.69456,2.85761,0.001772,0.254026
968,968,3.60223,2.85841,0.003067,0.307436
1058,1058,3.85091,2.7942,0.004492,0.401108
1152,1152,3.7074,2.84691,0.003466,0.49652
1250,1250,3.73433,2.65605,0.004206,0.605099
1352,1352,3.7688,3.11034,0.004401,0.558591
1458,1458,3.77003,2.73734,0.006443,0.736902
1568,1568,3.95214,2.74781,0.006401,0.794203
1682,1682,4.19701,3.13408,0.006193,0.794754
1800,1800,3.79158,2.74125,0.008436,1.1635
1922,1922,3.9165,3.16804,0.012937,1.09609
2048,2048,4.10621,2.87377,0.01041,1.2761
2178,2178,4.3493,3.10842,0.010915,1.22373
2312,2312,4.07937,3.07989,0.012821,1.4308
2450,2450,4.27749,3.09079,0.014191,1.55946
2592,2592,4.03266,2.95667,0.016047,2.12509
2738,2738,4.18168,3.24142,0.018414,1.92103
2888,2888,4.29272,3.12324,0.020191,2.14027
3042,3042,3.91634,3.10827,0.021807,2.5924
3200,3200,4.05703,2.76664,0.025088,3.26104
