M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,0,2.8e-05
8,8,1.5,1.5,0,0.000185
18,18,2.375,1.35714,0,0.000404
32,32,2.75,3,0,0.000543
50,50,2.55,2.42857,0,0.00155
72,72,3.65,2.28125,0,0.002425
98,98,3.66667,2.475,0,0.004094
128,128,3.48649,2.15,0,0.009089
162,162,3.07547,2.23288,0,0.01419
200,200,3.40678,2.48148,0,0.017101
242,242,4.58491,2.6129,0,0.019952
288,288,3.36047,2.75238,0,0.036584
338,338,4.03571,3.29126,0,0.033534
392,392,3.57273,3.09449,0,0.053847
450,450,3.36567,2.66864,0,0.085244
512,512,3.82836,2.60406,0,0.103206
578,578,3.48795,2.60811,0,0.132647
648,648,3.9816,2.97706,0,0.135047
722,722,3.63317,3.05063,0,0.172938
800,800,3.56,3.02264,0,0.212829
882,882,3.69456,2.85761,0,0.272062
968,968,3.60223,2.85841,0,0.36835
1058,1058,3.85091,2.7942,0,0.402093
1152,1152,3.7074,2.84691,0,0.492396
1250,1250,3.73433,2.65605,0,0.564146
1352,1352,3.7688,3.11034,0,0.561498
1458,1458,3.77003,2.73734,0,0.705704
1568,1568,3.95214,2.74781,0,0.75789
1682,1682,4.19701,3.13408,0,0.759746
1800,1800,3.79158,2.74125,0,1.07225
1922,1922,3.9165,3.16804,0,1.03134
2048,2048,4.10621,2.87377,0,1.2215
2178,2178,4.3493,3.10842,0,1.23393
2312,2312,4.07937,3.07989,0,1.44557
2450,2450,4.27749,3.09079,0,1.54831
2592,2592,4.03266,2.95667,0,1.91652
2738,2738,4.18168,3.24142,0,1.91255
2888,2888,4.29272,3.12324,0,2.15872
3042,3042,3.91634,3.10827,0,2.63595
3200,3200,4.05703,2.76664,0,3.29463
3362,3362,4.12638,3.15775,0,3.00786
3528,3528,4.31946,3.12578,0,3.16532
3698,3698,4.25662,3.17511,0,3.5107
3872,3872,4.1961,3.14622,0,3.92998
4050,4050,4.01487,3.06662,0,4.60869
4232,4232,4.34154,3.20439,0,4.48938
4418,4418,4.08788,3.14072,0,5.31778
4608,4608,4.14106,2.85741,0,6.79044
4802,4802,4.29991,3.18713,0,6.59947
5000,5000,4.04285,2.97501,0,8.03647
5202,5202,4.38332,3.33312,0,7.1009
5408,5408,4.31684,3.25256,0,8.54824
5618,5618,4.32564,3.33472,0,9.07308
5832,5832,4.24218,3.24236,0,10.0191
6050,6050,4.58757,3.2445,0,9.92042
6272,6272,4.47113,3.26889,0,10.8126
6498,6498,4.37643,3.21892,0,12.0082
6728,6728,4.49499,3.31641,0,12.5784
6962,6962,4.34916,3.32999,0,13.7266
7200,7200,4.4205,3.11058,0,15.6364
7442,7442,4.58031,3.29774,0,15.1228
7688,7688,4.33672,3.2212,0,17.112
7938,7938,4.23413,3.2983,0,18.205
8192,8192,4.51903,3.28114,0,18.4989
8450,8450,4.43157,3.36291,0,19.6828
8712,8712,4.51685,3.42358,0,20.472
8978,8978,4.63074,3.42057,0,21.0665
9248,9248,4.64074,3.3645,0,22.5821
9522,9522,4.72137,3.45914,0,22.8878
9800,9800,4.56073,3.34619,0,26.0457
10082,10082,4.7183,3.37111,0,26.5355
10368,10368,4.65186,3.27201,0,29.1252
10658,10658,4.58452,3.47538,0,30.5695
10952,10952,4.77255,3.36498,0,31.2578
11250,11250,4.62053,3.34552,0,33.7712
11552,11552,4.7329,3.45381,0,34.4502
11858,11858,4.59829,3.38152,0,37.6631
12168,12168,4.55256,3.42114,0,39.6055
12482,12482,4.71947,3.47619,0,40.2031
12800,12800,4.66339,2.96938,0,51.1965
