M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,1.5,1.5,0,2e-05
8,8,1.5,1.5,0,0.000279
18,18,2.375,1.35714,0,0.000689
32,32,2.75,3,0,0.000573
50,50,2.55,2.42857,0,0.001713
72,72,3.65,2.28125,0,0.002329
98,98,3.66667,2.475,0,0.004036
128,128,3.48649,2.15,0,0.008216
162,162,3.07547,2.23288,0,0.013902
200,200,3.40678,2.48148,0,0.018254
242,242,4.58491,2.6129,0,0.02083
288,288,3.36047,2.75238,0,0.034452
338,338,4.03571,3.29126,0,0.033877
392,392,3.57273,3.09449,0,0.050539
450,450,3.36567,2.66864,0,0.081407
512,512,3.82836,2.60406,0,0.099366
578,578,3.48795,2.60811,0,0.129049
648,648,3.9816,2.97706,0,0.12802
722,722,3.63317,3.05063,0,0.163459
800,800,3.56,3.02264,0,0.214528
882,882,3.69456,2.85761,0,0.258256
968,968,3.60223,2.85841,0,0.313533
1058,1058,3.85091,2.7942,0,0.3629
1152,1152,3.7074,2.84691,0,0.439525
1250,1250,3.73433,2.65605,0,0.544513
1352,1352,3.7688,3.11034,0,0.535522
1458,1458,3.77003,2.73734,0,0.71232
1568,1568,3.95214,2.74781,0,0.784923
1682,1682,4.19701,3.13408,0,0.766334
1800,1800,3.79158,2.74125,0,1.08554
1922,1922,3.9165,3.16804,0,1.01605
2048,2048,4.10621,2.87377,0,1.24202
2178,2178,4.3493,3.10842,0,1.23706
2312,2312,4.07937,3.07989,0,1.45264
2450,2450,4.27749,3.09079,0,1.57278
2592,2592,4.03266,2.95667,0,1.95078
2738,2738,4.18168,3.24142,0,1.92443
2888,2888,4.29272,3.12324,0,2.16808
3042,3042,3.91634,3.10827,0,2.60597
3200,3200,4.05703,2.76664,0,3.27845
3362,3362,4.12638,3.15775,0,2.98963
3528,3528,4.31946,3.12578,0,3.17715
3698,3698,4.25662,3.17511,0,3.47376
3872,3872,4.1961,3.14622,0,3.94776
4050,4050,4.01487,3.06662,0,4.61848
4232,4232,4.34154,3.20439,0,4.4742
4418,4418,4.08788,3.14072,0,5.1698
4608,4608,4.14106,2.85741,0,6.11311
4802,4802,4.29991,3.18713,0,5.81226
5000,5000,4.04285,2.97501,0,7.20703
5202,5202,4.38332,3.33312,0,6.38751
5408,5408,4.31684,3.25256,0,7.24301
5618,5618,4.32564,3.33472,0,7.64077
5832,5832,4.24218,3.24236,0,8.60815
6050,6050,4.58757,3.2445,0,8.62369
6272,6272,4.47113,3.26889,0,9.27534
6498,6498,4.37643,3.21892,0,10.3296
6728,6728,4.49499,3.31641,0,10.6279
6962,6962,4.34916,3.32999,0,11.5846
7200,7200,4.4205,3.11058,0,13.3035
7442,7442,4.58031,3.29774,0,12.7451
7688,7688,4.33672,3.2212,0,14.5534
7938,7938,4.23413,3.2983,0,15.5356
8192,8192,4.51903,3.28114,0,15.6607
8450,8450,4.43157,3.36291,0,16.5332
8712,8712,4.51685,3.42358,0,17.1191
8978,8978,4.63074,3.42057,0,17.7961
9248,9248,4.64074,3.3645,0,19.1079
9522,9522,4.72137,3.45914,0,19.4689
9800,9800,4.56073,3.34619,0,22.0352
10082,10082,4.7183,3.37111,0,22.6798
10368,10368,4.65186,3.27201,0,25.6514
10658,10658,4.58452,3.47538,0,26.2042
10952,10952,4.77255,3.36498,0,26.1725
11250,11250,4.62053,3.34552,0,28.5122
11552,11552,4.7329,3.45381,0,28.6485
11858,11858,4.59829,3.38152,0,31.4223
12168,12168,4.55256,3.42114,0,32.8962
12482,12482,4.71947,3.47619,0,33.2368
12800,12800,4.66339,2.96938,0,42.806
13122,13122,4.56452,3.50601,0,37.5222
13448,13448,4.81181,3.49961,0,37.6547
13778,13778,4.72693,3.46642,0,40.4258
14112,14112,4.95367,3.3372,0,42.5991
14450,14450,4.84121,3.47798,0,43.5048
14792,14792,4.67985,3.41877,0,47.6854
15138,15138,4.91048,3.37698,0,48.3898
15488,15488,4.74105,3.42147,0,51.5156
15842,15842,4.68589,3.36441,0,55.5355
16200,16200,4.8117,3.24344,0,60.8004
16562,16562,4.87004,3.36032,0,62.4073
16928,16928,4.74335,3.33314,0,69.6476
17298,17298,4.85245,3.38069,0,73.3299
17672,17672,4.86725,3.37464,0,74.2895
18050,18050,4.84331,3.47603,0,75.3122
18432,18432,4.98324,3.37786,0,77.905
18818,18818,4.95367,3.31262,0,83.434
19208,19208,4.94695,3.3588,0,85.6673
19602,19602,4.95902,3.41337,0,87.1327
20000,20000,4.65681,3.18741,0,103.203
20402,20402,4.9727,3.35741,0,97.0231
20808,20808,5.01543,3.359,0,98.7443
21218,21218,4.945,3.35478,0,103.869
21632,21632,4.95829,3.35968,0,107.466
22050,22050,4.96532,3.34969,0,112.402
22472,22472,4.98403,3.39215,0,115.05
22898,22898,5.08302,3.46482,0,115.204
23328,23328,5.0354,3.39627,0,123.671
23762,23762,5.02921,3.38939,0,128.07
24200,24200,5.06827,3.32203,0,134.277
24642,24642,5.04669,3.42216,0,135.894
25088,25088,5.15916,3.33675,0,141.975
25538,25538,5.16461,3.33016,0,139.409
25992,25992,5.18098,3.39467,0,136.801
26450,26450,5.13711,3.33682,0,148.102
26912,26912,5.06741,3.42535,0,151.176
27378,27378,5.1864,3.40239,0,157.661
27848,27848,5.14484,3.43179,0,159.657
28322,28322,5.08583,3.41364,0,171.439
28800,28800,5.01323,3.12409,0,191.457
