M, N, compression factor 1, compression factor 2, naive time, rle time
4738,4669,46.9109,46.69,0,0.0417448
6960,4733,46.0927,47.33,0,0.0602614
10162,5352,50.5572,53.52,0,0.0752992
12917,5355,51.4622,53.55,0,0.083259
14384,4676,47.7874,46.76,0,0.0991076
17618,4863,50.1937,48.63,0,0.105078
21051,4877,52.4963,48.77,0,0.11548
22074,5144,48.9446,51.44,0,0.127649
26784,5595,53.4611,55.95,0,0.134459
26041,5492,47.2613,54.92,0,0.163084
32140,4904,53.4775,49.04,0,0.17087
33506,5304,51.4685,53.04,0,0.182109
34983,4915,49.9044,49.15,0,0.184423
37311,5300,49.6818,53,0,0.207073
41263,5361,51.5144,53.61,0,0.205238
44045,4600,51.7568,46,0,0.215247
46570,4751,51.687,47.51,0,0.220734
48366,4997,50.858,49.97,0,0.23046
49962,5704,49.9121,57.04,0,0.24915
54534,5145,51.8877,51.45,0,0.253278
55691,4840,50.5822,48.4,0,0.269283
58628,4835,50.9366,48.35,0,0.275983
59226,5099,49.3139,50.99,0,0.289586
63939,5204,51.1103,52.04,0,0.300426
67092,4662,51.5696,46.62,0,0.311269
68433,5426,50.6536,54.26,0,0.318665
71146,5070,50.7823,50.7,0,0.334857
74308,4908,51.2116,49.08,0,0.344638
74997,5083,49.9647,50.83,0,0.351756
77255,5655,49.8098,56.55,0,0.363208
82252,5636,51.3754,56.36,0,0.369845
83348,4462,50.4833,44.62,0,0.384364
85735,4830,50.4027,48.3,0,0.397825
90895,4594,51.9103,45.94,0,0.401575
90321,5218,50.1505,52.18,0,0.417884
90144,5460,48.7002,54.6,0,0.423089
98819,5267,51.9826,52.67,0,0.436352
100378,5243,51.4495,52.43,0,0.448259
101856,4735,50.9025,47.35,0,0.484548
101996,5266,49.7299,52.66,0,0.473042
105220,4925,50.0809,49.25,0,0.49114
108692,4524,50.5309,45.24,0,0.495449
111430,5347,50.627,53.47,0,0.501169
114298,4612,50.7765,46.12,0,0.511781
116566,4978,50.6588,49.78,0,0.524205
119481,5289,50.8214,52.89,0,0.536216
122026,5180,50.823,51.8,0,0.544216
122368,5085,49.9257,50.85,0,0.558518
125729,5087,50.2715,50.87,0,0.562087
128219,5442,50.2623,54.42,0,0.576565
130875,5354,50.3172,53.54,0,0.579006
136027,4564,51.3116,45.64,0,0.596099
138777,5488,51.3799,54.88,0,0.603522
141664,5244,51.4955,52.44,0,0.619402
142176,5016,50.759,50.16,0,0.633595
141519,5517,49.6384,55.17,0,0.647198
147177,5006,50.7332,50.06,0,0.649386
149060,5370,50.5117,53.7,0,0.664298
150646,5607,50.1986,56.07,0,0.672466
154863,4900,50.7581,49,0,0.683465
156646,4933,50.5147,49.33,0,0.693423
158085,4706,50.1698,47.06,0,0.703811
161084,5227,50.323,52.27,0,0.722689
164302,5253,50.5389,52.53,0,0.728933
162746,4584,49.302,45.84,0,0.741862
168682,4897,50.3378,48.97,0,0.750268
171046,5162,50.2929,51.62,0,0.762433
172955,5356,50.1174,53.56,0,0.766125
174770,4982,49.92,49.82,0,0.778539
179111,5306,50.4396,53.06,0,0.793521
179705,4916,49.9042,49.16,0,0.80895
182279,4845,49.9258,48.45,0,0.817008
185112,5043,50.0168,50.43,0,0.827412
186977,5019,49.8472,50.19,0,0.834426
191355,5374,50.3433,53.74,0,0.848404
196848,4860,51.1161,48.6,0,0.857761
195751,5037,50.1797,50.37,0,0.871128
202554,4493,51.2665,44.93,0,0.880559
205664,5340,51.4031,53.4,0,0.884659
205075,5200,50.6233,52,0,0.897162
210503,4661,51.3297,46.61,0,0.912975
207424,4791,49.9696,47.91,0,0.921904
211163,5198,50.2649,51.98,0,0.925157
214052,5223,50.3533,52.23,0,0.939269
218737,4901,50.8572,49.01,0,0.948769
218534,4773,50.2262,47.73,0,0.964515
221776,4610,50.3922,46.1,0,0.979247
222492,5309,49.987,53.09,0,0.982367
226597,5242,50.3437,52.42,0,0.992106
230281,4423,50.6001,44.23,0,1.00894
232880,5114,50.6151,51.14,0,1.01158
236922,5299,50.94,52.99,0,1.02908
233560,4851,49.683,48.51,0,1.03631
239715,4732,50.4557,47.32,0,1.05749
241593,5175,50.3214,51.75,0,1.05556
243885,5174,50.2752,51.74,0,1.06574
247088,4682,50.4158,46.82,0,1.08048
251635,4756,50.8251,47.56,0,1.09581
252148,4923,50.4195,49.23,0,1.10442
253349,5206,50.1582,52.06,0,1.11618
257164,5248,50.4144,52.48,0,1.12473
262437,5189,50.9487,51.89,0,1.14053
261061,4913,50.1944,49.13,0,1.15058
267057,5255,50.8583,52.55,0,1.15135
267697,4570,50.4993,45.7,0,1.16708
270568,5393,50.564,53.93,0,1.17166
271487,4733,50.2661,47.33,0,1.19355
274121,4470,50.2882,44.7,0,1.20232
277508,4966,50.4468,49.66,0,1.20891
278053,4990,50.0906,49.9,0,1.21543
282580,4691,50.4517,46.91,0,1.23244
287508,4631,50.8774,46.31,0,1.24454
288290,5237,50.5683,52.37,0,1.24859
291922,5140,50.7602,51.4,0,1.2557
294606,5217,50.7854,52.17,0,1.26484
294002,5227,50.2482,52.27,0,1.27601
299664,4798,50.7819,47.98,0,1.29823
300036,5226,50.4177,52.26,0,1.30278
300685,5498,50.1058,54.98,0,1.31098
305887,5129,50.5515,51.29,0,1.31981
305864,5642,50.1334,56.42,0,1.32656
308808,5310,50.2045,53.1,0,1.34332
314412,5246,50.7034,52.46,0,1.35297
314115,5167,50.2504,51.67,0,1.36051
318571,5482,50.5588,54.82,0,1.37167
317069,5025,49.9243,50.25,0,1.3871
320652,4910,50.094,49.1,0,1.40132
328589,4965,50.9361,49.65,0,1.41143
324648,4758,49.9382,47.58,0,1.42137
327617,5601,50.0102,56.01,0,1.4246
336533,5324,50.9821,53.24,0,1.44759
331657,5285,49.8657,52.85,0,1.44705
336323,4883,50.19,48.83,0,1.46145
337682,4883,50.0196,48.83,0,1.48134
346185,4670,50.9021,46.7,0,1.49589
348297,5061,50.8389,50.61,0,1.49714
348278,5444,50.4678,54.44,0,1.50657
355961,4917,51.21,49.17,0,1.52056
353243,4983,50.4561,49.83,0,1.5314
352886,5167,50.0477,51.67,0,1.53889
358131,5446,50.4339,54.46,0,1.53699
362364,4553,50.6732,45.53,0,1.57088
366024,5307,50.8296,53.07,0,1.57099
368215,4546,50.7813,45.46,0,1.59732
368857,4808,50.5214,48.08,0,1.59451
371699,5129,50.5644,51.29,0,1.61149
378357,5138,51.1224,51.38,0,1.61682
375160,4366,50.3503,43.66,0,1.63851
374072,5248,49.8696,52.48,0,1.63394
382557,4290,50.6631,42.9,0,1.65936
378815,4933,49.8375,49.33,0,1.65538
388837,4651,50.8217,46.51,0,1.67759
387209,5458,50.2804,54.58,0,1.66681
391929,4602,50.565,46.02,0,1.69606
394849,4729,50.6152,47.29,0,1.704
397059,5154,50.5743,51.54,0,1.70737
401361,5075,50.7988,50.75,0,1.72065
401672,5329,50.5184,53.29,0,1.72759
404671,4904,50.5776,49.04,0,1.74854
407210,4725,50.5788,47.25,0,1.76788
407534,4819,50.3066,48.19,0,1.77544
407618,5185,50.0083,51.85,0,1.77197
411961,5236,50.233,52.36,0,1.78603
