M, N, compression factor 1, compression factor 2, naive time, rle time
2,2,2,2,0,2.4e-05
8,8,1.6,1.6,0,0.000194
18,18,2.57143,1.38462,0,0.000556
32,32,2.90909,3.2,0,0.000501
50,50,2.63158,2.5,0,0.001166
72,72,3.78947,2.32258,0,0.001938
98,98,3.76923,2.51282,0,0.003173
128,128,3.55556,2.16949,0,0.006711
162,162,3.11538,2.25,0,0.012194
200,200,3.44828,2.5,0,0.015491
242,242,4.65385,2.63043,0,0.017418
288,288,3.38824,2.76923,0,0.028793
338,338,4.07229,3.31373,0,0.030136
392,392,3.59633,3.11111,0,0.043668
450,450,3.38346,2.67857,0,0.069786
512,512,3.84962,2.61224,0,0.084006
578,578,3.50303,2.61538,0,0.108216
648,648,4,2.98618,0,0.111166
722,722,3.64646,3.05932,0,0.142661
800,800,3.57143,3.0303,0,0.17952
882,882,3.70588,2.86364,0,0.222442
968,968,3.61194,2.86391,0,0.270413
1058,1058,3.86131,2.79894,0,0.31361
1152,1152,3.71613,2.85149,0,0.374698
1250,1250,3.74251,2.65957,0,0.465411
1352,1352,3.77654,3.11521,0,0.458969
1458,1458,3.7772,2.7406,0,0.610975
1568,1568,3.9596,2.75088,0,0.668619
1682,1682,4.205,3.13806,0,0.650065
1800,1800,3.79747,2.7439,0,0.925911
1922,1922,3.92245,3.17162,0,0.869024
2048,2048,4.11245,2.8764,0,1.06052
2178,2178,4.356,3.11143,0,1.05358
2312,2312,4.08481,3.08267,0,1.24532
2450,2450,4.28322,3.09343,0,1.34113
2592,2592,4.03738,2.9589,0,1.66631
2738,2738,4.18654,3.24408,0,1.64144
2888,2888,4.29762,3.12554,0,1.86447
3042,3042,3.9201,3.11043,0,2.2456
3200,3200,4.06091,2.76817,0,2.80052
3362,3362,4.13022,3.15977,0,2.55858
3528,3528,4.32353,3.12766,0,2.72763
3698,3698,4.26037,3.17698,0,2.99246
3872,3872,4.19957,3.14797,0,3.45736
4050,4050,4.01786,3.06818,0,3.9891
4232,4232,4.34497,3.20606,0,3.84723
4418,4418,4.09074,3.14225,0,4.47129
4608,4608,4.14388,2.85856,0,5.27017
4802,4802,4.30287,3.18858,0,4.99527
5000,5000,4.04531,2.97619,0,6.26033
5202,5202,4.38617,3.33462,0,5.52784
5408,5408,4.31949,3.25391,0,6.22679
5618,5618,4.3282,3.3361,0,6.56639
5832,5832,4.24454,3.2436,0,7.38617
6050,6050,4.59029,3.24571,0,7.33832
6272,6272,4.47361,3.27007,0,7.95023
6498,6498,4.37871,3.22002,0,9.18464
6728,6728,4.49733,3.31755,0,9.22035
6962,6962,4.35125,3.3311,0,10.6864
7200,7200,4.4226,3.1115,0,12.3857
7442,7442,4.58251,3.29876,0,10.9584
7688,7688,4.3386,3.22213,0,12.4304
7938,7938,4.23586,3.29925,0,14.3377
8192,8192,4.52097,3.28205,0,14.2001
8450,8450,4.43337,3.36385,0,14.9088
8712,8712,4.51867,3.42453,0,15.2694
8978,8978,4.63261,3.42149,0,15.6892
9248,9248,4.64257,3.36536,0,16.3873
9522,9522,4.72321,3.46003,0,16.6178
9800,9800,4.56238,3.34699,0,18.9855
10082,10082,4.72004,3.37191,0,19.6096
10368,10368,4.6535,3.27273,0,21.0117
10658,10658,4.58606,3.47619,0,21.5476
10952,10952,4.77419,3.3657,0,22.377
11250,11250,4.62202,3.34622,0,24.317
11552,11552,4.73443,3.45455,0,24.8488
11858,11858,4.59969,3.3822,0,27.2299
12168,12168,4.55389,3.42182,0,28.6794
12482,12482,4.72088,3.47688,0,28.6277
12800,12800,4.66472,2.96984,0,36.222
13122,13122,4.56576,3.50668,0,32.0664
13448,13448,4.81317,3.50026,0,32.0239
13778,13778,4.72821,3.46704,0,34.3728
14112,14112,4.95506,3.33775,0,36.1103
14450,14450,4.84249,3.47857,0,36.8895
14792,14792,4.68101,3.41933,0,40.4713
15138,15138,4.91175,3.37751,0,41.0374
15488,15488,4.74219,3.42201,0,43.7611
15842,15842,4.68698,3.36491,0,47.1603
16200,16200,4.81283,3.24389,0,50.8549
16562,16562,4.87118,3.3608,0,49.6992
16928,16928,4.74439,3.3336,0,53.5867
17298,17298,4.85354,3.38116,0,54.4212
17672,17672,4.86832,3.3751,0,57.0797
18050,18050,4.84434,3.4765,0,58.0575
18432,18432,4.98432,3.3783,0,61.0609
18818,18818,4.95471,3.31303,0,65.155
19208,19208,4.94796,3.35922,0,67.4984
19602,19602,4.96002,3.41379,0,69.2472
20000,20000,4.65766,3.18776,0,81.966
20402,20402,4.97367,3.3578,0,76.0628
20808,20808,5.01639,3.35938,0,78.2443
21218,21218,4.94592,3.35515,0,81.8785
21632,21632,4.95919,3.36005,0,84.2414
22050,22050,4.96622,3.35005,0,88.6884
22472,22472,4.98492,3.39251,0,90.2925
22898,22898,5.08393,3.46519,0,90.2295
23328,23328,5.03627,3.39662,0,96.5505
23762,23762,5.03006,3.38973,0,99.732
24200,24200,5.06912,3.32235,0,104.333
24642,24642,5.04752,3.4225,0,105.255
25088,25088,5.16002,3.33706,0,109.952
25538,25538,5.16545,3.33046,0,113.902
25992,25992,5.18182,3.39498,0,114.937
26450,26450,5.13792,3.33712,0,122.96
26912,26912,5.06817,3.42566,0,125.284
27378,27378,5.18719,3.40268,0,127.814
27848,27848,5.1456,3.43209,0,131.97
28322,28322,5.08657,3.41393,0,138.258
28800,28800,5.01393,3.12432,0,158.953
