M, N, compression factor 1, compression factor 2, naive time, rle time
1,1,1,1,2e-06,4e-06
4,4,4,4,2e-06,1.8e-06
9,9,9,9,1e-06,2.2e-06
16,16,16,16,2e-06,6.4e-06
25,25,25,25,1.9e-05,6.8e-06
36,36,36,36,3.4e-05,5.8e-06
49,49,49,16.3333,8e-06,3.72e-05
81,81,27,81,2.5e-05,1.64e-05
100,100,100,33.3333,5.9e-05,1.28e-05
121,121,40.3333,121,4.9e-05,1.12e-05
144,144,48,144,6.8e-05,9.6e-06
169,169,169,169,0.000107,2e-06
196,196,196,196,0.00015,8.6e-06
289,289,57.8,96.3333,0.00021,5.22e-05
324,324,64.8,324,0.000253,1.82e-05
361,361,120.333,120.333,0.000362,3.46e-05
400,400,133.333,133.333,0.000391,2.84e-05
484,484,484,484,0.000535,2e-06
529,529,105.8,176.333,0.000663,4.76e-05
625,625,89.2857,208.333,0.000997,0.0001136
676,676,225.333,75.1111,0.001665,9.02e-05
729,729,81,104.143,0.001217,0.000252
784,784,112,261.333,0.001441,7.36e-05
841,841,280.333,64.6923,0.00185,0.0001288
900,900,180,128.571,0.002334,0.0001252
961,961,192.2,137.286,0.002307,0.0001174
1024,1024,146.286,113.778,0.002485,0.0002158
1089,1089,83.7692,155.571,0.00268,0.0003174
1156,1156,105.091,165.143,0.003137,0.0002706
1225,1225,408.333,81.6667,0.003497,0.000256
1296,1296,185.143,259.2,0.004332,0.000142
1369,1369,105.308,152.111,0.004886,0.0003924
1444,1444,131.273,131.273,0.004667,0.0004326
1521,1521,117,304.2,0.005555,0.0002552
1681,1681,152.818,112.067,0.006702,0.0006898
1764,1764,352.8,196,0.007483,0.0002104
1849,1849,142.231,97.3158,0.007708,0.0008236
1936,1936,276.571,215.111,0.009261,0.0002556
2025,2025,155.769,225,0.010428,0.0004126
2116,2116,124.471,141.067,0.010505,0.0009444
2209,2209,116.263,245.444,0.011579,0.0006118
2304,2304,85.3333,53.5814,0.013966,0.0042924
2401,2401,141.235,218.273,0.014029,0.0007022
2500,2500,119.048,147.059,0.01449,0.0013382
2601,2601,66.6923,89.6897,0.015996,0.0038674
2704,2704,159.059,180.267,0.01664,0.000841
2809,2809,165.235,147.842,0.018083,0.0010766
2916,2916,194.4,138.857,0.019845,0.0010836
3025,3025,112.037,112.037,0.020952,0.002404
3136,3136,125.44,66.7234,0.022254,0.0041588
3249,3249,191.118,120.333,0.023684,0.0016224
3364,3364,124.593,146.261,0.0259,0.002042
3481,3481,94.0811,204.765,0.027152,0.0023022
3600,3600,189.474,171.429,0.030223,0.0015204
3721,3721,148.84,161.783,0.0309,0.002038
3844,3844,132.552,142.37,0.032754,0.0026128
3969,3969,120.273,136.862,0.03642,0.0030514
4096,4096,178.087,141.241,0.038543,0.0022888
4225,4225,114.189,136.29,0.039501,0.0040108
4356,4356,161.333,140.516,0.042081,0.0029432
4489,4489,136.03,128.257,0.045644,0.0041456
4624,4624,149.161,118.564,0.04893,0.0042054
4761,4761,176.333,110.721,0.052818,0.0040788
4900,4900,96.0784,181.481,0.054617,0.0046378
5041,5041,144.029,201.64,0.056216,0.002941
5329,5329,123.93,108.755,0.062727,0.0073782
5476,5476,116.511,148,0.069055,0.0057614
5625,5625,137.195,125,0.069757,0.0059442
5776,5776,117.878,105.018,0.072615,0.0093182
5929,5929,116.255,152.026,0.080626,0.0064324
6084,6084,289.714,164.432,0.082991,0.0026802
6241,6241,178.314,168.676,0.086016,0.0041516
6561,6561,133.898,107.557,0.093875,0.0097772
6724,6724,122.255,122.255,0.097174,0.009543
6889,6889,120.86,116.763,0.104686,0.0109848
7056,7056,128.291,150.128,0.112686,0.008648
7225,7225,131.364,206.429,0.116036,0.0066106
7396,7396,139.547,125.356,0.118428,0.0100352
7569,7569,128.288,116.446,0.126392,0.0119884
7921,7921,161.653,184.209,0.135022,0.0073704
8100,8100,152.83,132.787,0.143339,0.010204
8281,8281,131.444,192.581,0.147295,0.0088752
8464,8464,165.961,107.139,0.155971,0.0127688
8649,8649,192.2,163.189,0.162692,0.007761
8836,8836,109.086,166.717,0.166758,0.0144566
9025,9025,147.951,152.966,0.176264,0.0115908
9216,9216,151.082,151.082,0.182285,0.01245
9409,9409,144.754,159.475,0.190491,0.0122358
9604,9604,147.754,128.053,0.196983,0.0152448
9801,9801,138.042,107.703,0.207469,0.0205266
